Periodo;1.Tipo  de  cambio  nominal (dólar observado $CLP/USD)
ene.1984;87,82
feb.1984;88,12
mar.1984;88,20
abr.1984;88,55
may.1984;90,19
jun.1984;91,13
jul.1984;91,89
ago.1984;92,69
sept.1984;100,94
oct.1984;116,39
nov.1984;119,58
dic.1984;126,23
ene.1985;128,98
feb.1985;131,84
mar.1985;145,69
abr.1985;148,76
may.1985;152,15
jun.1985;155,06
jul.1985;170,81
ago.1985;176,49
sept.1985;178,19
oct.1985;179,19
nov.1985;180,68
dic.1985;182,48
ene.1986;184,80
feb.1986;186,74
mar.1986;189,22
abr.1986;189,19
may.1986;187,93
jun.1986;188,79
jul.1986;190,36
ago.1986;194,46
sept.1986;198,32
oct.1986;199,73
nov.1986;201,95
dic.1986;203,67
ene.1987;204,54
feb.1987;206,01
mar.1987;207,82
abr.1987;211,49
may.1987;212,54
jun.1987;218,18
jul.1987;224,13
ago.1987;224,58
sept.1987;225,15
oct.1987;229,27
nov.1987;233,83
dic.1987;235,34
ene.1988;243,73
feb.1988;240,00
mar.1988;243,33
abr.1988;241,88
may.1988;245,15
jun.1988;248,31
jul.1988;248,32
ago.1988;245,59
sept.1988;245,67
oct.1988;247,09
nov.1988;246,44
dic.1988;244,63
ene.1989;247,11
feb.1989;245,84
mar.1989;249,64
abr.1989;251,36
may.1989;252,44
jun.1989;261,66
jul.1989;272,81
ago.1989;276,65
sept.1989;280,15
oct.1989;282,78
nov.1989;288,42
dic.1989;294,59
ene.1990;296,76
feb.1990;292,46
mar.1990;296,66
abr.1990;296,41
may.1990;296,97
jun.1990;296,79
jul.1990;296,67
ago.1990;303,44
sept.1990;308,35
oct.1990;312,49
nov.1990;326,86
dic.1990;334,98
ene.1991;337,23
feb.1991;337,53
mar.1991;340,24
abr.1991;340,28
may.1991;339,95
jun.1991;344,89
jul.1991;348,72
ago.1991;350,89
sept.1991;355,61
oct.1991;359,06
nov.1991;364,26
dic.1991;371,93
ene.1992;369,75
feb.1992;347,86
mar.1992;348,34
abr.1992;346,30
may.1992;346,56
jun.1992;355,00
jul.1992;361,25
ago.1992;368,86
sept.1992;376,04
oct.1992;373,10
nov.1992;377,63
dic.1992;380,22
ene.1993;383,93
feb.1993;387,91
mar.1993;397,22
abr.1993;401,19
may.1993;404,98
jun.1993;403,30
jul.1993;404,79
ago.1993;407,66
sept.1993;408,19
oct.1993;412,59
nov.1993;412,50
dic.1993;425,73
ene.1994;430,45
feb.1994;428,69
mar.1994;430,45
abr.1994;424,47
may.1994;424,70
jun.1994;420,68
jul.1994;420,49
ago.1994;419,43
sept.1994;414,87
oct.1994;412,21
nov.1994;413,45
dic.1994;402,23
ene.1995;405,78
feb.1995;412,14
mar.1995;410,46
abr.1995;394,33
may.1995;377,17
jun.1995;373,59
jul.1995;378,07
ago.1995;387,27
sept.1995;394,56
oct.1995;406,62
nov.1995;412,31
dic.1995;408,98
ene.1996;408,53
feb.1996;410,97
mar.1996;411,55
abr.1996;408,42
may.1996;406,23
jun.1996;409,85
jul.1996;410,72
ago.1996;411,10
sept.1996;411,84
oct.1996;415,55
nov.1996;420,03
dic.1996;422,41
ene.1997;423,79
feb.1997;416,19
mar.1997;414,05
